Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Extracellular Matrix Organization R-HSA-1474244	1/291	0.19742532010867866	0.20529983430104762	0	0	4.850985221674877	7.870213645689098	KDR
Signaling By WNT R-HSA-195721	1/294	0.19925647137751867	0.20661537514998385	0	0	4.8005850804485615	7.744123748980833	NRAS
Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168	1/307	0.20714649241772556	0.21418829952541027	0	0	4.59360410830999	7.2318443605558675	FBXW7
Class A/1 (Rhodopsin-like Receptors) R-HSA-373076	1/327	0.21914342491142413	0.22595296636347403	0	0	4.307405784399649	6.538766272002911	KEL
Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169	1/378	0.2489731582326214	0.2559864866335403	0	0	3.7150435771125427	5.165434433245426	FBXW7
Neuronal System R-HSA-112316	1/386	0.25355466500326773	0.25996475484885595	0	0	3.6363636363636362	4.989730320580199	NRAS
RHO GTPase Cycle R-HSA-9012999	1/441	0.2843533717251484	0.29072543607753265	0	0	3.1728896103896105	3.9900278195858845	PIK3CA
GPCR Ligand Binding R-HSA-500792	1/458	0.29363033128668387	0.2993717064794402	0	0	3.052203813691779	3.7402733496316594	KEL
Neutrophil Degranulation R-HSA-6798695	1/468	0.2990348088484956	0.30403260509665986	0	0	2.9853166105842766	3.6038601658272706	NRAS
Cell Cycle, Mitotic R-HSA-69278	1/523	0.328076061886845	0.3326326738574956	0	0	2.6632457580733444	2.9682135011367174	TP53
Signaling By Rho GTPases R-HSA-194315	1/644	0.38806009584423845	0.39235993070123826	0	0	2.148633636969562	2.0338859975835786	PIK3CA
Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542	1/660	0.395606648840111	0.3988851569796699	0	0	2.094732278343811	1.9425182900454918	PIK3CA
Metabolism Of Lipids R-HSA-556833	1/732	0.42850369735632604	0.43086459927013504	0	0	1.881375806136408	1.5943830503164806	PIK3CA
Infectious Disease R-HSA-5663205	1/961	0.5223634530816231	0.5237985175131661	0	0	1.4155505952380953	0.9192467552606759	JUN
Metabolism R-HSA-1430728	1/2049	0.8024751870018489	0.8024751870018489	0	0	0.6255929129464286	0.13766443811943016	PIK3CA
